Publication,Journalist_Name,Sector,Contact_Vector,Status
TechCrunch,Hardware_Editorial_Desk,AgTech/Defense,[REDACTED_PUBLIC_RELEASE],Deployed
AgFunderNews,Editorial_Team,Autonomous_Ag,[REDACTED_PUBLIC_RELEASE],Deployed
Wired,Security_Opinion_Desk,Cybersecurity,[REDACTED_PUBLIC_RELEASE],Deployed
Defense_One,Tactical_Submissions,Tactical_Grids,[REDACTED_PUBLIC_RELEASE],Deployed
MIT_Tech_Review,Autonomous_Systems,Deep_Tech,[REDACTED_PUBLIC_RELEASE],Deployed
IEEE_Spectrum,Robotics_Desk,Engineering,[REDACTED_PUBLIC_RELEASE],Deployed
Fast_Company,Innovation_Desk,Tech_Business,[REDACTED_PUBLIC_RELEASE],Deployed
The_Verge,Transportation_Desk,Mobility,[REDACTED_PUBLIC_RELEASE],Deployed
Forbes,Business_Tech_Desk,Global_Business,[REDACTED_PUBLIC_RELEASE],Deployed
Bloomberg,Autonomous_Systems_Reporter,Finance/Tech,[REDACTED_PUBLIC_RELEASE],Deployed
Reuters,Tech_Editorial,Global_News,[REDACTED_PUBLIC_RELEASE],Deployed
The_Information,Enterprise_Tech_Desk,Deep_Business,[REDACTED_PUBLIC_RELEASE],Deployed
Wall_Street_Journal,Tech_Innovation_Desk,Markets/Tech,[REDACTED_PUBLIC_RELEASE],Pending
New_York_Times,Tech_Business_Desk,Global_Tech,[REDACTED_PUBLIC_RELEASE],Pending
CNBC,Disruptor_Desk,Markets,[REDACTED_PUBLIC_RELEASE],Pending
Financial_Times,Tech_News_Desk,Global_Markets,[REDACTED_PUBLIC_RELEASE],Pending
